Year,Brandywine_mm,Greyflood_mm
1961,651.1,1047.9
1962,554.7,984.5
1963,748.4,1110.7
1964,496.9,855.8
1965,841.3,1249.1
1966,806.4,1238.2
1967,694.7,1270.5
1968,760.3,1095.4
1969,794.6,935.8
1970,623.1,1100.7
1971,595.3,1009.7
1972,543,1100.1
1973,524.4,845.1
1974,636.9,1231.4
1975,574.1,824
1976,701.2,857
1977,641.7,1108.2
1978,800.4,1017.7
1979,763.8,1093.8
1980,792.3,1109.2
1981,709.5,1254
1982,565.3,1224.3
1983,655.3,1138
1984,666.2,1198.3
1985,678.4,1186.1
1986,688.7,1324.7
1987,778.3,912.6
1988,671,1155.9
1989,404.4,1066.2
1990,558.6,1003.6
1991,546.7,981.2
1992,676.3,1093.4
1993,706.8,1145.1
1994,571.1,1291.3
1995,645,1156.1
1996,563.5,991
1997,626,1070.1
1998,841.6,1309.8
1999,672.4,1374.6
2000,904.3,1454.3
2001,704.4,997.4
2002,707,1359.1
2003,531.7,792.2
2004,771.7,960.8
2005,766.8,835.4
2006,585,1105.5
2007,618,
2008,873.3,
2009,704.2,
2010,797.8,
2011,593.2,
2012,1045.8,
2013,674.5,
2014,679.5,
2015,715.5,